country,year,renew_share
Belgium,2004,3.25
Czech Rep.,2004,3.89
France,2004,12.07
Germany,2004,10.2
Italy,2004,20.25
Netherlands,2004,5.24
Poland,2004,3.12
Portugal,2004,27.92
Romania,2004,29.23
Spain,2004,19.12
Sweden,2004,44.97
United Kingdom,2004,4.26
Norway,2004,99.35
Turkey,2004,30.73
Kazakhstan,2004,12.04
Russia,2004,19.13
Ukraine,2004,6.54
Uzbekistan,2004,18.02
Canada,2004,58.45
United States,2004,9.22
Argentina,2004,31.69
Brazil,2004,86.03
Chile,2004,46.9
Colombia,2004,81.65
Mexico,2004,14.45
Venezuela,2004,71.1
China,2004,16.22
India,2004,14.48
Indonesia,2004,13.61
Japan,2004,10.7
Malaysia,2004,7.09
South Korea,2004,1.68
Taiwan,2004,3.86
Thailand,2004,5.82
Australia,2004,8.28
New Zealand,2004,72.06
Algeria,2004,0.75
Egypt,2004,13
Nigeria,2004,33.4
South Africa,2004,2
Iran,2004,6.39
Kuwait,2004,0
Saudi Arabia,2004,0
United Arab Emirates,2004,0
Belgium,2005,3.93
Czech Rep.,2005,4.58
France,2005,10.62
Germany,2005,11.13
Italy,2005,18.21
Netherlands,2005,7.45
Poland,2005,3.46
Portugal,2005,18.57
Romania,2005,34.02
Spain,2005,15.95
Sweden,2005,51.32
United Kingdom,2005,4.99
Norway,2005,99.47
Turkey,2005,24.54
Kazakhstan,2005,11.58
Russia,2005,18.37
Ukraine,2005,6.74
Uzbekistan,2005,17.54
Canada,2005,60.04
United States,2005,9.12
Argentina,2005,33.69
Brazil,2005,87.12
Chile,2005,53.88
Colombia,2005,80.17
Mexico,2005,15.2
Venezuela,2005,73.28
China,2005,16.18
India,2005,16.62
Indonesia,2005,13.61
Japan,2005,9.2
Malaysia,2005,6.28
South Korea,2005,1.43
Taiwan,2005,4.29
Thailand,2005,5.54
Australia,2005,8.92
New Zealand,2005,64.24
Algeria,2005,1.53
Egypt,2005,12.14
Nigeria,2005,33
South Africa,2005,1.83
Iran,2005,9.08
Kuwait,2005,0
Saudi Arabia,2005,0
United Arab Emirates,2005,0
Belgium,2006,4.93
Czech Rep.,2006,5.01
France,2006,11.79
Germany,2006,12.26
Italy,2006,18.17
Netherlands,2006,8.15
Poland,2006,3.26
Portugal,2006,33.01
Romania,2006,29.28
Spain,2006,18.71
Sweden,2006,49.65
United Kingdom,2006,5.53
Norway,2006,99.32
Turkey,2006,25.25
Kazakhstan,2006,10.84
Russia,2006,17.65
Ukraine,2006,6.76
Uzbekistan,2006,17.99
Canada,2006,59.55
United States,2006,9.79
Argentina,2006,37.25
Brazil,2006,86.75
Chile,2006,55.25
Colombia,2006,80.6
Mexico,2006,15.33
Venezuela,2006,73.9
China,2006,15.59
India,2006,17.54
Indonesia,2006,12.26
Japan,2006,10.23
Malaysia,2006,7.17
South Korea,2006,1.43
Taiwan,2006,4.32
Thailand,2006,6.92
Australia,2006,9.34
New Zealand,2006,64.48
Algeria,2006,0.58
Egypt,2006,11.73
Nigeria,2006,27.1
South Africa,2006,2.41
Iran,2006,9.54
Kuwait,2006,0
Saudi Arabia,2006,0
United Arab Emirates,2006,0
Belgium,2007,5.38
Czech Rep.,2007,4.36
France,2007,12.57
Germany,2007,14.87
Italy,2007,17.01
Netherlands,2007,7.21
Poland,2007,3.78
Portugal,2007,35.08
Romania,2007,25.95
Spain,2007,20.16
Sweden,2007,52.06
United Kingdom,2007,5.93
Norway,2007,99.14
Turkey,2007,19.03
Kazakhstan,2007,10.67
Russia,2007,17.68
Ukraine,2007,5.39
Uzbekistan,2007,13.07
Canada,2007,60.3
United States,2007,8.91
Argentina,2007,30.06
Brazil,2007,88.21
Chile,2007,44.16
Colombia,2007,81.53
Mexico,2007,14.09
Venezuela,2007,72.72
China,2007,15.26
India,2007,17.86
Indonesia,2007,12.9
Japan,2007,9.01
Malaysia,2007,6.66
South Korea,2007,1.4
Taiwan,2007,4.52
Thailand,2007,6.91
Australia,2007,8.71
New Zealand,2007,65.57
Algeria,2007,0.57
Egypt,2007,13.06
Nigeria,2007,27.1
South Africa,2007,1.57
Iran,2007,8.89
Kuwait,2007,0
Saudi Arabia,2007,0
United Arab Emirates,2007,0
Belgium,2008,6.79
Czech Rep.,2008,4.88
France,2008,13.69
Germany,2008,15.5
Italy,2008,19.98
Netherlands,2008,8.86
Poland,2008,4.64
Portugal,2008,32.93
Romania,2008,26.52
Spain,2008,20.69
Sweden,2008,54.35
United Kingdom,2008,6.67
Norway,2008,99.41
Turkey,2008,17.35
Kazakhstan,2008,9.29
Russia,2008,16.07
Ukraine,2008,6.14
Uzbekistan,2008,23
Canada,2008,61.48
United States,2008,9.53
Argentina,2008,26.54
Brazil,2008,84.27
Chile,2008,45.75
Colombia,2008,84.01
Mexico,2008,17.54
Venezuela,2008,72.79
China,2008,17.74
India,2008,16.51
Indonesia,2008,13.32
Japan,2008,9.37
Malaysia,2008,7.63
South Korea,2008,1.54
Taiwan,2008,4.36
Thailand,2008,6.6
Australia,2008,8.17
New Zealand,2008,64.25
Algeria,2008,0.66
Egypt,2008,11.9
Nigeria,2008,27.1
South Africa,2008,1.65
Iran,2008,2.42
Kuwait,2008,0
Saudi Arabia,2008,0
United Arab Emirates,2008,0
Belgium,2009,7.53
Czech Rep.,2009,6.34
France,2009,13.93
Germany,2009,16.87
Italy,2009,25.14
Netherlands,2009,9.53
Poland,2009,6.11
Portugal,2009,37.88
Romania,2009,27.28
Spain,2009,26.08
Sweden,2009,58.46
United Kingdom,2009,7.68
Norway,2009,96.59
Turkey,2009,19.58
Kazakhstan,2009,8.74
Russia,2009,17.8
Ukraine,2009,6.98
Uzbekistan,2009,18.68
Canada,2009,62.86
United States,2009,10.78
Argentina,2009,29.18
Brazil,2009,89
Chile,2009,48.83
Colombia,2009,72.88
Mexico,2009,12.95
Venezuela,2009,71.89
China,2009,17.86
India,2009,15.66
Indonesia,2009,13.23
Japan,2009,9.73
Malaysia,2009,7.01
South Korea,2009,1.65
Taiwan,2009,4.27
Thailand,2009,6.9
Australia,2009,7.52
New Zealand,2009,71.71
Algeria,2009,0.75
Egypt,2009,10.07
Nigeria,2009,22.9
South Africa,2009,1.78
Iran,2009,3.37
Kuwait,2009,0
Saudi Arabia,2009,0
United Arab Emirates,2009,0
Belgium,2010,8.25
Czech Rep.,2010,7.56
France,2010,14.59
Germany,2010,17.57
Italy,2010,26.57
Netherlands,2010,9.39
Poland,2010,7.27
Portugal,2010,53.16
Romania,2010,33.88
Spain,2010,33.49
Sweden,2010,55.33
United Kingdom,2010,7.58
Norway,2010,95.75
Turkey,2010,26.38
Kazakhstan,2010,9.71
Russia,2010,16.28
Ukraine,2010,7.09
Uzbekistan,2010,20.98
Canada,2010,61.4
United States,2010,10.61
Argentina,2010,28.77
Brazil,2010,84.72
Chile,2010,40.2
Colombia,2010,72.12
Mexico,2010,16.6
Venezuela,2010,67.49
China,2010,18.83
India,2010,16.04
Indonesia,2010,15.85
Japan,2010,11.19
Malaysia,2010,5.99
South Korea,2010,1.8
Taiwan,2010,4.2
Thailand,2010,5.61
Australia,2010,8.63
New Zealand,2010,73.18
Algeria,2010,0.36
Egypt,2010,10.05
Nigeria,2010,24.4
South Africa,2010,2.08
Iran,2010,4.16
Kuwait,2010,0
Saudi Arabia,2010,0
United Arab Emirates,2010,0
Belgium,2011,10.64
Czech Rep.,2011,9.09
France,2011,12.37
Germany,2011,21.14
Italy,2011,28.06
Netherlands,2011,10.81
Poland,2011,8.3
Portugal,2011,47.06
Romania,2011,26.57
Spain,2011,30.57
Sweden,2011,55.98
United Kingdom,2011,10.21
Norway,2011,96.53
Turkey,2011,25.33
Kazakhstan,2011,9.1
Russia,2011,15.94
Ukraine,2011,5.75
Uzbekistan,2011,19.54
Canada,2011,62.34
United States,2011,12.69
Argentina,2011,32.48
Brazil,2011,87.12
Chile,2011,39.6
Colombia,2011,83.47
Mexico,2011,14.89
Venezuela,2011,70.93
China,2011,16.95
India,2011,17.32
Indonesia,2011,11.99
Japan,2011,12.16
Malaysia,2011,6.71
South Korea,2011,2.05
Taiwan,2011,4.08
Thailand,2011,8.05
Australia,2011,10.44
New Zealand,2011,76.04
Algeria,2011,0.9
Egypt,2011,9.33
Nigeria,2011,21.76
South Africa,2011,2.04
Iran,2011,5.12
Kuwait,2011,0
Saudi Arabia,2011,0
United Arab Emirates,2011,0
Belgium,2012,14.18
Czech Rep.,2012,10.06
France,2012,15.56
Germany,2012,23.75
Italy,2012,31.48
Netherlands,2012,12.11
Poland,2012,10.67
Portugal,2012,43.78
Romania,2012,25.74
Spain,2012,30.44
Sweden,2012,59.1
United Kingdom,2012,12.15
Norway,2012,97.97
Turkey,2012,27.23
Kazakhstan,2012,8.23
Russia,2012,15.68
Ukraine,2012,5.91
Uzbekistan,2012,21.35
Canada,2012,63.24
United States,2012,12.41
Argentina,2012,29.49
Brazil,2012,82.45
Chile,2012,36.45
Colombia,2012,79.55
Mexico,2012,13.79
Venezuela,2012,67.41
China,2012,20.12
India,2012,15.73
Indonesia,2012,11.24
Japan,2012,11.87
Malaysia,2012,7.38
South Korea,2012,2.02
Taiwan,2012,4.81
Thailand,2012,8.39
Australia,2012,10.61
New Zealand,2012,71.87
Algeria,2012,1
Egypt,2012,8.88
Nigeria,2012,19.71
South Africa,2012,1.76
Iran,2012,4.99
Kuwait,2012,0
Saudi Arabia,2012,0
United Arab Emirates,2012,0
Belgium,2013,15.57
Czech Rep.,2013,11.75
France,2013,17.79
Germany,2013,24.76
Italy,2013,39.31
Netherlands,2013,11.98
Poland,2013,10.71
Portugal,2013,59.24
Romania,2013,34.81
Spain,2013,40.47
Sweden,2013,54.07
United Kingdom,2013,15.68
Norway,2013,97.71
Turkey,2013,28.82
Kazakhstan,2013,7.51
Russia,2013,17.29
Ukraine,2013,8.12
Uzbekistan,2013,21.33
Canada,2013,63.3
United States,2013,13.03
Argentina,2013,31.68
Brazil,2013,76.69
Chile,2013,35.67
Colombia,2013,74
Mexico,2013,13.3
Venezuela,2013,67.83
China,2013,20.45
India,2013,17.35
Indonesia,2013,12.27
Japan,2013,12.77
Malaysia,2013,8.58
South Korea,2013,2.38
Taiwan,2013,4.95
Thailand,2013,8.28
Australia,2013,13.3
New Zealand,2013,74.26
Algeria,2013,0.51
Egypt,2013,8.88
Nigeria,2013,18.44
South Africa,2013,1.73
Iran,2013,5.71
Kuwait,2013,0
Saudi Arabia,2013,0
United Arab Emirates,2013,0.09
Belgium,2014,18.42
Czech Rep.,2014,11.87
France,2014,17.32
Germany,2014,26.82
Italy,2014,43.74
Netherlands,2014,11.32
Poland,2014,12.82
Portugal,2014,61.37
Romania,2014,42.03
Spain,2014,40.92
Sweden,2014,55.87
United Kingdom,2014,19.95
Norway,2014,97.67
Turkey,2014,20.89
Kazakhstan,2014,7.88
Russia,2014,16.72
Ukraine,2014,6.02
Uzbekistan,2014,21.35
Canada,2014,62.83
United States,2014,13.36
Argentina,2014,31.79
Brazil,2014,73.08
Chile,2014,42.41
Colombia,2014,74.04
Mexico,2014,17.54
Venezuela,2014,68.26
China,2014,22.79
India,2014,16.25
Indonesia,2014,11.48
Japan,2014,14.48
Malaysia,2014,9.71
South Korea,2014,2.47
Taiwan,2014,4.44
Thailand,2014,8.51
Australia,2014,14.92
New Zealand,2014,79.2
Algeria,2014,0.36
Egypt,2014,8.87
Nigeria,2014,17.59
South Africa,2014,2.51
Iran,2014,5.2
Kuwait,2014,0
Saudi Arabia,2014,0
United Arab Emirates,2014,0.26
Belgium,2015,22.03
Czech Rep.,2015,12.75
France,2015,16.59
Germany,2015,29.88
Italy,2015,38.99
Netherlands,2015,12.44
Poland,2015,14.12
Portugal,2015,48.67
Romania,2015,40.09
Spain,2015,35.7
Sweden,2015,63.29
United Kingdom,2015,25.45
Norway,2015,97.73
Turkey,2015,31.96
Kazakhstan,2015,8.87
Russia,2015,16.01
Ukraine,2015,5.3
Uzbekistan,2015,20.65
Canada,2015,63.02
United States,2015,13.63
Argentina,2015,28.38
Brazil,2015,73.97
Chile,2015,43.6
Colombia,2015,68.24
Mexico,2015,15.39
Venezuela,2015,63.7
China,2015,24.13
India,2015,15.34
Indonesia,2015,10.65
Japan,2015,16.48
Malaysia,2015,9.96
South Korea,2015,2.54
Taiwan,2015,4.67
Thailand,2015,8.54
Australia,2015,13.67
New Zealand,2015,80.08
Algeria,2015,0.29
Egypt,2015,8.26
Nigeria,2015,18.2
South Africa,2015,3.4
Iran,2015,5.1
Kuwait,2015,0
Saudi Arabia,2015,0
United Arab Emirates,2015,0.23
Belgium,2016,17.37
Czech Rep.,2016,12.69
France,2016,18.45
Germany,2016,30.02
Italy,2016,37.53
Netherlands,2016,12.8
Poland,2016,14.02
Portugal,2016,55.44
Romania,2016,43.75
Spain,2016,39.35
Sweden,2016,57.02
United Kingdom,2016,25.31
Norway,2016,97.87
Turkey,2016,32.92
Kazakhstan,2016,10.72
Russia,2016,17.45
Ukraine,2016,6.66
Uzbekistan,2016,20.2
Canada,2016,64.08
United States,2016,15.42
Argentina,2016,25.6
Brazil,2016,80.96
Chile,2016,39.08
Colombia,2016,72.11
Mexico,2016,15.36
Venezuela,2016,57.6
China,2016,25.4
India,2016,15.49
Indonesia,2016,12.64
Japan,2016,16.5
Malaysia,2016,11.02
South Korea,2016,2.93
Taiwan,2016,5.46
Thailand,2016,9.73
Australia,2016,15.78
New Zealand,2016,84.17
Algeria,2016,0.38
Egypt,2016,8.32
Nigeria,2016,18.2
South Africa,2016,3.96
Iran,2016,5.72
Kuwait,2016,0
Saudi Arabia,2016,0
United Arab Emirates,2016,0.22
Belgium,2017,18.65
Czech Rep.,2017,12.45
France,2017,17.56
Germany,2017,33.98
Italy,2017,35.74
Netherlands,2017,14.84
Poland,2017,15.48
Portugal,2017,39.75
Romania,2017,38.7
Spain,2017,32.17
Sweden,2017,57.53
United Kingdom,2017,30.16
Norway,2017,97.87
Turkey,2017,29.46
Kazakhstan,2017,9.47
Russia,2017,17.51
Ukraine,2017,7.86
Uzbekistan,2017,19.77
Canada,2017,64.71
United States,2017,17.66
Argentina,2017,28.23
Brazil,2017,79.71
Chile,2017,44.5
Colombia,2017,86.78
Mexico,2017,16.56
Venezuela,2017,63.33
China,2017,25.97
India,2017,16.29
Indonesia,2017,12.32
Japan,2017,17.79
Malaysia,2017,12.35
South Korea,2017,3.36
Taiwan,2017,5.24
Thailand,2017,11.86
Australia,2017,14.95
New Zealand,2017,81.39
Algeria,2017,0.62
Egypt,2017,8.45
Nigeria,2017,18.21
South Africa,2017,4.17
Iran,2017,5.14
Kuwait,2017,0
Saudi Arabia,2017,0
United Arab Emirates,2017,0.57